Ly6C,B220
180.648,374.331
32348.1,52.8693
126.899,4424.47
15427.5,82.4799
934.496,211.248
12918.9,-10.4026
384.69,391.585
151.209,4199.14
394.314,5993.47
42.4131,316.129
18725.9,284.311
432.974,251.027
35.229,6394.61
60.247,5440.12
189.756,5302.86
184.017,3296
52.4159,7887.46
288.636,6968.86
131.511,6924.12
274.609,3.00459
21914.3,457.633
255.525,223.531
175.595,4861.69
388.967,10381.4
182.17,4452.68
120.103,7910.51
9.6649,469.269
106.53,174.087
18315.9,102.839
232.505,517.56
103.923,3673.45
114.063,4024.96
872.83,317.391
89.5352,5072.39
9875.63,103.969
-5.42742,3981.89
179.413,64.6613
5405.82,253.727
52.7503,5187.9
898.578,230.27
9657.97,-11.8113
63.7666,4380.57
1730.95,193.327
167.341,268.501
5177.94,180.688
-24.8575,84.2356
154.96,6444.1
271.59,263.215
107.553,6520.32
890.261,8192.11
139.775,5434.59
215.114,5098.7
54.5709,59.4442
117.933,5112.68
119.743,2723.12
128.181,7678.68
1125.55,13517.8
89.7569,1337.14
2897.41,247.715
419.283,3413.27
2571.59,380.495
105.719,5957.05
23935.3,-15.672
8527.15,136.541
235.576,3820.42
250.494,9278.36
270.257,10054.5
141.217,4498.91
92.4937,470.782
184.564,5675.86
77.616,5191
238.506,6373.06
-53.436,6144.97
36.3489,5392.63
183.547,7231.58
107.261,129.821
16.9014,4169.87
116.293,6008.06
672.668,383.354
2389.96,222.742
184.391,7689.95
366.654,5489.76
7507.16,94.0473
125.456,4307.95
352.516,3499.1
36.0151,7939.77
396.786,9787.32
26121.1,325.094
141.99,10145.1
50408.5,255.6
19935.1,985.549
26894.7,60.9907
465.485,7612.22
41.9243,240.013
28.1736,5619.64
171.981,7986.13
90.7998,4912.24
74.6598,5318.15
173.938,4258.3
291.897,-50.8085
414.605,267.926
2836.24,4895.63
211.628,6715.77
363.621,6823.04
206.486,330.108
243.016,2941.86
99.4659,1001
98.5644,8613.55
42.8749,4825.21
-7.17248,4220.32
236.113,4380.59
61.2674,4344.32
655.521,-74.3505
30316.2,83.7227
54.3698,2372.97
51.955,143.432
202.197,2961.73
86.6323,6047.07
464.578,16723.3
1584.31,10350.8
188.151,5163.27
198.44,5535.74
737.509,4947.72
127.072,4695.87
255.32,17202.1
21957.6,8.27812
444.472,5094.42
394.106,6848.97
1904.31,351.655
1475.85,268.21
708.898,1785.39
601.649,93.6622
151.127,5254.09
20512.8,120.556
203.17,7072.45
25.9467,6942.75
1052.99,83.8094
-2.39943,2199.42
250.209,5103.31
102.485,2745.58
39.0221,4656.88
446.58,4575.22
1129.84,12833.6
315.986,6782.78
1565.51,6027.91
13470.6,168.963
399.32,13059.1
276.723,6761.9
251.473,-76.7614
246.299,6524.11
116.049,11708.5
52.55,5869.96
256.727,7649.78
154.921,5173.65
308.303,4450.9
255.405,10167.7
1354.13,1196.01
60.822,4633.18
88.6307,4991.34
128.649,9482.67
303.98,6226.53
352.672,6145.37
68.3869,6845.01
185.262,5158.64
20606.6,140.418
83.1049,3041.34
96.3178,6484.38
701.682,19468.5
215.515,5450.02
245.297,6837.38
24971.2,121.154
224.929,9763.74
268.585,5923.18
152.954,5713.75
350.419,8487.59
318.078,6283.33
204.033,4872.97
260.127,8383.01
29.2811,4992.32
558.227,-39.4025
122.053,5153.36
749.053,105.598
5293.5,298.214
18498.5,80.7608
274.367,4489.57
1675.55,969.833
72.0212,852.163
406.841,8408.52
240.163,11368.7
118.423,5457.45
108.579,6275.31
219.105,5503.56
202.335,5657.6
328.808,279.338
8437.89,69.2121
158.05,4342.58
492.05,283.532
117.766,6969.1
640.82,1129.35
30808.9,115.59
347.021,9817.78
41.1348,7549.14
256.021,8708.09
187.966,5625.82
-14.1827,6977.94
593.172,6154.36
27.6358,3557.4
226.192,6685.01
145.14,96.0626
434.518,4016.73
66.7952,6239.23
59.3675,11468.9
249.837,5950.29
543.63,9576.05
5210.37,372.02
482.218,234.287
188.029,10234
2091.01,6115.51
13422.7,113.765
47.067,144.118
570.726,185.985
178.993,6143.12
23692.3,80.4444
8461.57,392.884
24719.1,376.106
51.2077,5120.52
106.646,6964.27
395.437,8233.89
311.772,358.095
782.091,4007.67
10882.4,126.06
16853.2,157.941
-48.8182,5016.49
12816,347.276
20298.3,705.459
23.3492,4458.64
21842.5,132.102
2251.08,58.45
433.931,5002.61
229.196,4438.33
288.242,7719.1
512.109,261.881
14618.4,126.971
207.121,5131.74
123.257,213.006
17.7319,4186.79
1239.59,152.258
187.786,6632.35
274.952,5293.53
1523.53,217.52
301.928,5862.23
177.373,5383.55
7272.82,692.977
676.96,7061.73
5953.66,111.909
400.527,2644.97
790.495,7215.82
277.47,8036.78
76.1057,3216
223.282,4756.03
227.597,3828.74
104.016,5465.62
13070.2,239.561
473.808,4674.21
91.4189,228.108
9854.53,311.229
60.9446,3582.15
260.072,5266.62
424.073,269.835
366.688,107.43
351.624,4460.37
-86.6601,5096.76
-17.4249,5538.53
22972.8,155.284
249.873,3863.06
225.624,7183.09
65.5832,6650.76
32.1338,8968.17
24101,46.7698
242.707,3838.6
168.246,5120.37
598.459,270.915
123.179,7471.69
336.004,5834.25
1089.02,12343.9
242.568,801.779
106.167,3579.98
729.478,32.8576
297.321,7413.24
113.293,5529.38
18261.2,128.09
51477.1,55.8626
875.754,7923.41
0.21484,4823.75
111.089,5711.09
1061.33,8380.05
-27.9563,6168.23
253.044,6932.72
159.174,5610.21
92.7286,8607.88
224.427,4191.01
94.8996,6214.04
1.864,2997.77
63.3442,3135.35
1254.61,513.394
3399.44,241.989
71.3841,4724.09
301.899,7367.93
189.635,2185.38
789.853,6302.28
109.898,376.215
12426.4,625.651
282.53,11308.1
175.34,11433.3
21281.7,-59.0355
215.736,4086.2
8353.63,468.122
1140.32,6132.62
11297,910.588
351.352,539.407
98.1142,6809.24
139.974,5670.66
128.603,2750.99
54483.8,407.494
240.091,179.54
217.323,5496.62
107.79,3724.85
14663.2,409.313
384.015,12300.5
290.849,10502.3
227.584,7364.45
625.467,6020.74
157.934,1424.8
290.988,1164.28
126.522,4344.08
64.9359,4582.24
290.686,4155.62
194.272,6932.56
688.755,78.0815
13.5035,5926.15
17510.9,58.4204
457.451,7838.2
611.821,3608.95
22639.4,154.908
27392.6,0.736937
344.939,2207.12
356.247,615.733
11788.4,194.384
284.574,6029.8
35456.7,188.99
139.113,5836.55
40.373,2756.95
14972.2,48.0528
371.43,167.628
142.209,1277.62
-30.5829,4900.62
15815.9,86.7647
103.189,6939.88
99.929,2997.42
18838.8,-19.2432
97.6785,6058.65
20387.2,315.733
41348.8,488.873
17629,94.2936
559.874,251.809
