Ly6C,B220
1456.26,64736
133098,8087.86
243381,2044.77
399.338,54176.3
132608,2899.29
105062,5668.29
165485,2160.56
1104.04,53913.1
1426.47,63705.1
77524.4,10531.2
2152.13,94460.9
692.266,65828.9
62392.4,16685.6
954.743,81848
1230.38,69967.3
1872.31,95118.5
12437.8,11694.3
733.552,73582.9
1516.43,43003.6
66985.1,16499.3
1326.13,83282.3
282055,3341.48
10378.2,5642.83
3065.85,59451.4
1452.02,34495.9
1651.73,58137.4
3000.12,41516.5
1387.86,86697.1
4276.78,97551.7
3301.5,2611.01
1694.71,70880.8
102701,15792.1
1894.28,55919.8
1812.19,3342.97
3563.46,13091.4
2047.61,39508.1
222080,3011.97
1511.5,89451.5
1222.72,8616.5
1567.22,4001.85
1858.91,89033.2
2181.23,12029.6
9473.43,78887.9
1397.08,80461.7
1897.33,89248.3
203522,15266.9
3225.63,79819.2
2443.18,21794
1223.64,91487.5
4078.93,11528.8
1618.9,70597.9
192012,47724
359.53,96536.1
3056.02,13741.1
3174.03,1931.16
1527.16,65107.3
1786.01,84470.8
1162.11,53379
4204.36,76516.3
132378,505.578
2359.93,58646.5
1833.25,76600.6
4576.75,73135.1
1093.84,69357
2981.58,134026
693.71,4077.77
91342.9,2239.1
197614,3573.86
910.086,60075.5
623.866,41796.9
799.967,1712.98
746.902,66855.1
6643.26,4038.21
1602.01,3298.89
2070.96,66776.7
118243,6317.24
998.482,2747.56
2079.95,87862.1
1929.23,40671.8
2541.63,112020
836.943,68903.4
730.387,98865.3
646.915,71085.7
1208.72,61390.3
1617.33,85153.9
1616.04,8409.54
106372,2545.51
193651,3666.03
3066.86,38805.3
959.923,38590.7
77474.2,1631.35
716.113,55501.2
2002.78,21235.8
104291,16172.7
528.969,54968.5
1207.57,75874.9
162097,7003.33
2007,13571.8
8905.06,4192.16
2.81317,45357.9
33364.3,6038.51
464.14,77254.1
381.007,42460.8
614.746,52498.8
1013.78,84211.7
525.662,67565
1657.2,59917.3
4117.42,8507.02
3100.16,59085.8
1139.07,112301
669.223,58609.5
100074,8230.32
1273.82,67394.4
1795.25,43469.4
2053.11,91605.8
104247,3995.7
1388.49,106349
107640,6514.97
129648,3818.01
1119.34,82808.1
891.237,41344.5
684.234,67809.7
6223.14,103593
446.579,66726.7
2411.28,60380.9
3509.91,77092.3
1475.96,73578
186513,6332.85
18979.9,12681.5
3470.31,68457.3
453.567,58712.7
2473.24,59218.9
705.573,62410.1
156744,3799.24
3679.58,133390
1525.4,59486.8
90012.9,5770.1
1727.21,136902
3103.1,4818.98
17469.8,61277.8
1420.09,85478.9
10419.5,16581.3
1708.46,61370.8
101841,3834.19
818.108,8302.78
918.133,5470.24
1115.53,92633.6
1712.46,84204.1
2128.86,55819.8
591.287,51720.1
514.957,55054.9
1520.86,80800.8
1511.21,132589
1447.39,108978
1439.31,73228.9
998.924,65820.2
2138.66,92794.9
2134.31,88973.8
2661.79,99066.9
5445.38,7446.24
1996.35,45814.5
3317.41,8762.15
1570.2,86722.3
2901.45,95971.1
1826.4,60421.3
529.852,64060.1
1623.25,66747.6
1489.54,98642.8
814.541,63849
134080,1619.54
596.952,48440.4
2064.51,58608.9
182157,7298.72
3151.45,57830
693.324,89619.6
173104,2041.33
2785.36,64712.8
23811.3,6041.09
4069.92,166401
1638.79,104676
2677.78,1141.96
1088.77,80516.7
8877.2,81993.2
1660.59,130321
1945.01,93201.2
1511.69,65906.7
1256.08,57275.4
3323.56,11911.3
101243,14415
1648.17,55965.9
1290.78,63172
897.419,76347.9
888.526,45543.5
431.453,40864.8
638.683,73650
1936.35,81908.3
1429.04,4591.88
4425.9,99234.8
70375.5,1894.41
1893.97,55896.9
2211.09,51881.1
552.364,64217.9
3209.92,69557.3
127630,2398.96
16085.2,59545.3
1084.08,83991.1
7082.32,53269.3
4742.04,105852
1444.74,58103
1695.87,186274
92366.4,1374.03
2147.52,111676
230652,1344.22
1296.29,53260.1
82164.1,3722.7
212466,16615.8
3658.18,102112
51589.3,7007.37
1626.19,74969.7
3426.38,85295.6
1351.1,126688
1326.95,54148.9
17562.8,44648.4
14766.8,47001
963.039,61502.3
979.004,87002.1
1676.36,77250
91980.8,4749.53
2784.85,49191.2
3331.34,63850.7
228701,3683.23
1566.69,65900.4
3908.92,44083.9
6688.4,2111.07
714.677,78133.3
2491.67,14580.6
707.336,2755.86
2986.09,13113.9
7646.91,88616.8
5808.07,7753.33
111168,1470.54
